node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
target_CAST,Target,CAST,,calpastatin,ENSG00000153113,lncRNA,0.3807409956883003,0.134728,0.127758,79.0,Moderate gap signal,Low-priority / weak gap signal,checked_with_mentions,1.0,0.0,low,reliable,,,,,,,,,,,,
target_ADRA2A,Target,ADRA2A,,adrenoceptor alpha 2A,ENSG00000150594,protein_coding,0.5118463597412175,0.134457,0.168071,80.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_MPO,Target,MPO,,myeloperoxidase,ENSG00000005381,protein_coding,0.5117547282373773,0.134389,0.167986,81.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,moderate,not_detected,,,,,,,,,,,,
target_NDUFS2,Target,NDUFS2,,NADH:ubiquinone oxidoreductase core subunit S2,ENSG00000158864,protein_coding,0.5110539411128694,0.133869,0.167336,82.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CASS4,Target,CASS4,,Cas scaffold protein family member 4,ENSG00000087589,protein_coding,0.5104872560249373,0.133448,0.166811,83.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_SLC18A2,Target,SLC18A2,,solute carrier family 18 member A2,ENSG00000165646,protein_coding,0.5094579284886787,0.132685,0.165856,84.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_PIKFYVE,Target,PIKFYVE,,"phosphoinositide kinase, FYVE-type zinc finger containing",ENSG00000115020,protein_coding,0.5089489781100042,0.132307,0.165384,85.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CAMLG,Target,CAMLG,,calcium modulating ligand,ENSG00000164615,protein_coding,0.5075988192398417,0.131305,0.164131,86.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFA9,Target,NDUFA9,,NADH:ubiquinone oxidoreductase subunit A9,ENSG00000139180,protein_coding,0.5062203596018111,0.130282,0.162852,87.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NR1H2,Target,NR1H2,,nuclear receptor subfamily 1 group H member 2,ENSG00000131408,protein_coding,0.5047494233888233,0.12919,0.161488,88.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CSNK1A1,Target,CSNK1A1,,casein kinase 1 alpha 1,ENSG00000113712,protein_coding,0.5040365578291959,0.128661,0.160827,89.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_AKAP11,Target,AKAP11,,A-kinase anchoring protein 11,ENSG00000023516,protein_coding,0.5030645574681958,0.12794,0.159925,90.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_TARS2,Target,TARS2,,"threonyl-tRNA synthetase 2, mitochondrial",ENSG00000143374,protein_coding,0.5030392466541774,0.127921,0.159902,91.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_MASTL,Target,MASTL,,microtubule associated serine/threonine kinase like,ENSG00000120539,protein_coding,0.5030392466541774,0.127921,0.159902,92.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_ATP6V1C1,Target,ATP6V1C1,,ATPase H+ transporting V1 subunit C1,ENSG00000155097,protein_coding,0.5029313970500541,0.127841,0.159802,93.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_FADS2,Target,FADS2,,fatty acid desaturase 2,ENSG00000134824,protein_coding,0.5017930585581221,0.126996,0.158746,94.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CDK12,Target,CDK12,,cyclin dependent kinase 12,ENSG00000167258,protein_coding,0.5016300431916646,0.126875,0.158594,95.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_CTSB,Target,CTSB,,cathepsin B,ENSG00000164733,protein_coding,0.5013866040818838,0.126695,0.158369,96.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_PI4KB,Target,PI4KB,,phosphatidylinositol 4-kinase beta,ENSG00000143393,protein_coding,0.4993421627252597,0.125178,0.156472,97.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFB7,Target,NDUFB7,,NADH:ubiquinone oxidoreductase subunit B7,ENSG00000099795,protein_coding,0.4981214124775582,0.124272,0.15534,98.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_MTMR6,Target,MTMR6,,myotubularin related protein 6,ENSG00000139505,protein_coding,0.4976720716320659,0.123938,0.154923,99.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_DRD1,Target,DRD1,,dopamine receptor D1,ENSG00000184845,protein_coding,0.4964918626381651,0.123062,0.153828,100.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_H2BC4,Target,H2BC4,,H2B clustered histone 4,ENSG00000180596,protein_coding,0.4953245841496741,0.122196,0.152745,101.0,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
