target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000140945,CDH13,cadherin 13,protein_coding,0.4027720462129512,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000091140,DLD,dihydrolipoamide dehydrogenase,protein_coding,0.402302758914465,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
ENSG00000071243,ING3,inhibitor of growth family member 3,protein_coding,0.4022551619305217,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000197361,FBXL22,F-box and leucine rich repeat protein 22,protein_coding,0.4002942398742502,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000117362,APH1A,aph-1A gamma-secretase subunit,protein_coding,0.4001322170938158,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000164181,ELOVL7,ELOVL fatty acid elongase 7,protein_coding,0.3996132613206611,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000204256,BRD2,bromodomain containing 2,protein_coding,0.3993750800684569,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000113048,MRPS27,mitochondrial ribosomal protein S27,protein_coding,0.3990445841661311,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000118260,CREB1,cAMP responsive element binding protein 1,protein_coding,0.3978902718085687,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000166912,MTMR10,myotubularin related protein 10,protein_coding,0.3977625482383899,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000172977,KAT5,lysine acetyltransferase 5,protein_coding,0.3969319892464673,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000100300,TSPO,translocator protein,protein_coding,0.3955788313235772,0,2,0,1,-2,low,reliable,checked_with_mentions
ENSG00000148429,USP6NL,USP6 N-terminal like,protein_coding,0.3954354931965726,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000163288,GABRB1,gamma-aminobutyric acid type A receptor subunit beta1,protein_coding,0.395116580946711,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000146648,EGFR,epidermal growth factor receptor,protein_coding,0.3947339723918066,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000005379,TSPOAP1,TSPO associated protein 1,protein_coding,0.3946112765967388,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000120907,ADRA1A,adrenoceptor alpha 1A,protein_coding,0.3928133293392252,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000173039,RELA,"RELA proto-oncogene, NF-kB subunit",protein_coding,0.3927377590756798,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000156467,UQCRB,ubiquinol-cytochrome c reductase binding protein,protein_coding,0.3924867453854369,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000161929,SCIMP,SLP adaptor and CSK interacting membrane protein,protein_coding,0.3913679294647975,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000060566,CREB3L3,cAMP responsive element binding protein 3 like 3,protein_coding,0.3913314553340502,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000128923,MINDY2,MINDY lysine 48 deubiquitinase 2,protein_coding,0.3899681373582496,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000174469,CNTNAP2,contactin associated protein 2,protein_coding,0.3896089490907917,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000261371,PECAM1,platelet and endothelial cell adhesion molecule 1,protein_coding,0.3891678356965384,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000162736,NCSTN,nicastrin,protein_coding,0.3890319061743018,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000160191,PDE9A,phosphodiesterase 9A,protein_coding,0.3887550772748388,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000107249,GLIS3,GLIS family zinc finger 3,protein_coding,0.3883872971125877,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",protein_coding,0.3883635090639488,0,0,0,0,0,moderate,not_detected,checked_zero_mentions
ENSG00000160789,LMNA,lamin A/C,protein_coding,0.3880992162143042,0,0,0,0,0,low,not_detected,checked_zero_mentions
