target_id,approved_symbol,approved_name,biotype,association_score,datasource_scores,disease_id,disease_name,ds_clinical_precedence,ds_uniprot_variants,ds_eva,ds_gwas_credible_sets,ds_orphanet,ds_uniprot_literature,ds_genomics_england,ds_reactome,ds_europepmc,ds_impc,ds_expression_atlas,ds_crispr_screen,ds_gene_burden
ENSG00000095970,TREM2,triggering receptor expressed on myeloid cells 2,protein_coding,0.5721845302600777,"{""gwas_credible_sets"": 0.8916865649112139, ""europepmc"": 0.9902707924090672}",MONDO_0004975,Alzheimer disease,,,,0.8916865649112139,,,,,0.9902707924090672,,,,
ENSG00000064687,ABCA7,ATP binding cassette subfamily A member 7,protein_coding,0.5653009027165964,"{""eva"": 0.6647944636433635, ""uniprot_variants"": 0.607930797611621, ""uniprot_literature"": 0.607930797611621, ""gwas_credible_sets"": 0.606413438204871, ""europepmc"": 0.9563988228083541}",MONDO_0004975,Alzheimer disease,,0.607930797611621,0.6647944636433635,0.606413438204871,,0.607930797611621,,,0.9563988228083541,,,,
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,protein_coding,0.5608605760909913,"{""crispr_screen"": 0.8136276094564562, ""gwas_credible_sets"": 0.4103108276298352, ""europepmc"": 0.2470883963813344, ""expression_atlas"": 0.07015121357208141}",MONDO_0004975,Alzheimer disease,,,,0.4103108276298352,,,,,0.2470883963813344,,0.07015121357208141,0.8136276094564562,
ENSG00000120885,CLU,clusterin,protein_coding,0.5557063381395116,"{""gwas_credible_sets"": 0.864557507334617, ""europepmc"": 0.9793720635394302, ""expression_atlas"": 0.02558786498941004, ""eva"": 0}",MONDO_0004975,Alzheimer disease,,,0.0,0.864557507334617,,,,,0.9793720635394302,,0.02558786498941004,,
ENSG00000136717,BIN1,bridging integrator 1,protein_coding,0.5547057890274468,"{""gwas_credible_sets"": 0.8638176505362819, ""europepmc"": 0.9726250376548885}",MONDO_0004975,Alzheimer disease,,,,0.8638176505362819,,,,,0.9726250376548885,,,,
ENSG00000142319,SLC6A3,solute carrier family 6 member 3,protein_coding,0.5539395717319444,"{""clinical_precedence"": 0.7734230702947845, ""crispr_screen"": 0.47462246497174854, ""europepmc"": 0.859943097515649}",MONDO_0004975,Alzheimer disease,0.7734230702947845,,,,,,,,0.859943097515649,,,0.47462246497174854,
ENSG00000082701,GSK3B,glycogen synthase kinase 3 beta,protein_coding,0.5534786397885884,"{""crispr_screen"": 0.8434018776286261, ""europepmc"": 0.9505200229188614, ""clinical_precedence"": 0.17362334710121896, ""expression_atlas"": 0.01687786532291258}",MONDO_0004975,Alzheimer disease,0.17362334710121896,,,,,,,,0.9505200229188614,,0.01687786532291258,0.8434018776286261,
ENSG00000147883,CDKN2B,cyclin dependent kinase inhibitor 2B,protein_coding,0.5531421294534669,"{""crispr_screen"": 0.8142840046102876, ""gwas_credible_sets"": 0.37482210579400477, ""europepmc"": 0.08492715425528859}",MONDO_0004975,Alzheimer disease,,,,0.37482210579400477,,,,,0.08492715425528859,,,0.8142840046102876,
ENSG00000197943,PLCG2,phospholipase C gamma 2,protein_coding,0.55138545916762,"{""gwas_credible_sets"": 0.8613081095728511, ""europepmc"": 0.9135820469941067}",MONDO_0004975,Alzheimer disease,,,,0.8613081095728511,,,,,0.9135820469941067,,,,
ENSG00000124762,CDKN1A,cyclin dependent kinase inhibitor 1A,protein_coding,0.5503043842101816,"{""crispr_screen"": 0.865457038266544, ""europepmc"": 0.7950377488080165}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.7950377488080165,,,0.865457038266544,
